DateTime,Power(kW)
12/18/2015 19:30,103.164611
12/18/2015 19:45,68.973013
12/18/2015 20:00,65.882092
12/18/2015 20:15,68.368098
12/18/2015 20:30,65.395
12/18/2015 20:45,62.4219
12/18/2015 21:00,59.4487
12/18/2015 21:15,56.4756
12/18/2015 21:30,53.502506
12/18/2015 21:45,71.021609
12/18/2015 22:00,88.540713
12/18/2015 22:15,65.698038
12/18/2015 22:30,68.355493
12/18/2015 22:45,97.316052
12/18/2015 23:00,113.025356
12/18/2015 23:15,102.802913
12/18/2015 23:30,84.781326
12/18/2015 23:45,87.175612
12/19/2015 0:00,63.834557
12/19/2015 0:15,82.38944
12/19/2015 0:30,55.022475
12/19/2015 0:45,72.680546
12/19/2015 1:00,71.94328
12/19/2015 1:15,77.573668
12/19/2015 1:30,66.268098
12/19/2015 1:45,58.75736
12/19/2015 2:00,90.944063
12/19/2015 2:15,63.800234
12/19/2015 2:30,85.176014
12/19/2015 2:45,82.650177
12/19/2015 3:00,51.026532
12/19/2015 3:15,78.19542
12/19/2015 3:30,58.840847
12/19/2015 3:45,66.329443
12/19/2015 4:00,44.591847
12/19/2015 4:15,84.424152
12/19/2015 4:30,51.436083
12/19/2015 4:45,88.450476
12/19/2015 5:00,73.721469
12/19/2015 5:15,83.927596
12/19/2015 5:30,60.826162
12/19/2015 5:45,74.815698
12/19/2015 6:00,74.209085
12/19/2015 6:15,61.207448
12/19/2015 6:30,46.365938
12/19/2015 6:45,34.752172
12/19/2015 7:00,54.465935
12/19/2015 7:15,71.868453
12/19/2015 7:30,44.013325
12/19/2015 7:45,77.908964
12/19/2015 8:00,62.036172
12/19/2015 8:15,60.946848
12/19/2015 8:30,56.911747
12/19/2015 8:45,71.211393
12/19/2015 9:00,64.070396
12/19/2015 9:15,67.293274
12/19/2015 9:30,75.871624
12/19/2015 9:45,78.340646
12/19/2015 10:00,53.757148
12/19/2015 10:15,73.952262
12/19/2015 10:30,64.222334
12/19/2015 10:45,89.529104
12/19/2015 11:00,81.715565
12/19/2015 11:15,69.141936
12/19/2015 11:30,56.568307
12/19/2015 11:45,82.507138
12/19/2015 12:00,56.655414
12/19/2015 12:15,68.335051
12/19/2015 12:30,80.188934
12/19/2015 12:45,86.087395
12/19/2015 13:00,84.113888
12/19/2015 13:15,98.819218
12/19/2015 13:30,79.417583
12/19/2015 13:45,106.128972
12/19/2015 14:00,89.376907
12/19/2015 14:15,76.047282
12/19/2015 14:30,69.028556
12/19/2015 14:45,84.423818
12/19/2015 15:00,99.964878
12/19/2015 15:15,89.684759
12/19/2015 15:30,90.999158
12/19/2015 15:45,104.782206
12/19/2015 16:00,96.796333
12/19/2015 16:15,114.239688
12/19/2015 16:30,96.470229
12/19/2015 16:45,104.061185
12/19/2015 17:00,102.134864
12/19/2015 17:15,99.849434
12/19/2015 17:30,101.488774
12/19/2015 17:45,78.756537
12/19/2015 18:00,85.101048
12/19/2015 18:15,127.588489
12/19/2015 18:30,134.758903
12/19/2015 18:45,127.036257
12/19/2015 19:00,107.667129
12/19/2015 19:15,83.442826
12/19/2015 19:30,107.214619
12/19/2015 19:45,107.860787
12/19/2015 20:00,108.506955
12/19/2015 20:15,109.153123
12/19/2015 20:30,109.799291
12/19/2015 20:45,110.445459
12/19/2015 21:00,111.091628
12/19/2015 21:15,101.411577
12/19/2015 21:30,94.720132
12/19/2015 21:45,79.458025
12/19/2015 22:00,80.667625
12/19/2015 22:15,86.277928
12/19/2015 22:30,92.624245
12/19/2015 22:45,95.524801
12/19/2015 23:00,89.263532
12/19/2015 23:15,119.34524
12/19/2015 23:30,92.656443
12/19/2015 23:45,126.840661
12/20/2015 0:00,96.137287
12/20/2015 0:15,102.124015
12/20/2015 0:30,100.685321
12/20/2015 0:45,104.790821
12/20/2015 1:00,92.970358
12/20/2015 1:15,81.380368
12/20/2015 1:30,96.774885
12/20/2015 1:45,93.386048
12/20/2015 2:00,97.39137
12/20/2015 2:15,100.971013
12/20/2015 2:30,83.428657
12/20/2015 2:45,74.602129
12/20/2015 3:00,82.129434
12/20/2015 3:15,81.406128
12/20/2015 3:30,93.656357
12/20/2015 3:45,96.9705
12/20/2015 4:00,86.082646
12/20/2015 4:15,74.504235
12/20/2015 4:30,67.388525
12/20/2015 4:45,97.134756
12/20/2015 5:00,71.958938
12/20/2015 5:15,77.54459
12/20/2015 5:30,70.988137
12/20/2015 5:45,63.401137
12/20/2015 6:00,57.369011
12/20/2015 6:15,70.321391
12/20/2015 6:30,65.94699
12/20/2015 6:45,95.964115
12/20/2015 7:00,103.470463
12/20/2015 7:15,104.25741
12/20/2015 7:30,88.768113
12/20/2015 7:45,97.335871
12/20/2015 8:00,79.946255
12/20/2015 8:15,73.155129
12/20/2015 8:30,77.99745
12/20/2015 8:45,82.689898
12/20/2015 9:00,71.68085
12/20/2015 9:15,92.334771
12/20/2015 9:30,70.322221
12/20/2015 9:45,97.869343
12/20/2015 10:00,87.077868
12/20/2015 10:15,91.108023
12/20/2015 10:30,99.089451
12/20/2015 10:45,113.25283
12/20/2015 11:00,102.736864
12/20/2015 11:15,97.496955
12/20/2015 11:30,129.865722
12/20/2015 11:45,102.390159
12/20/2015 12:00,121.636613
12/20/2015 12:15,104.074271
12/20/2015 12:30,70.583567
12/20/2015 12:45,81.851584
12/20/2015 13:00,69.476398
12/20/2015 13:15,68.191264
12/20/2015 13:30,79.061117
12/20/2015 13:45,66.928258
12/20/2015 14:00,28.735668
12/20/2015 14:15,45.475361
12/20/2015 14:30,53.051377
12/20/2015 14:45,41.383101
12/20/2015 15:00,62.754087
12/20/2015 15:15,63.1888
12/20/2015 15:30,63.6235
12/20/2015 15:45,64.0583
12/20/2015 16:00,64.493
12/20/2015 16:15,64.9277
12/20/2015 16:30,65.362454
12/20/2015 16:45,77.956072
12/20/2015 17:00,72.737105
12/20/2015 17:15,76.674374
12/20/2015 17:30,71.897346
12/20/2015 17:45,73.096043
12/20/2015 18:00,100.311316
12/20/2015 18:15,64.508417
12/20/2015 18:30,78.198347
12/20/2015 18:45,74.826938
12/20/2015 19:00,73.4458
12/20/2015 19:15,72.064661
12/20/2015 19:30,70.683523
12/20/2015 19:45,69.302385
12/20/2015 20:00,67.921247
12/20/2015 20:15,102.981108
12/20/2015 20:30,110.044045
