DateTime,Power(kW)
18-Dec-2015 10:45:00,123.130551
18-Dec-2015 11:00:00,81.907492
18-Dec-2015 11:15:00,103.600288
18-Dec-2015 11:30:00,102.851204
18-Dec-2015 11:45:00,120.325706
18-Dec-2015 12:00:00,102.372138
18-Dec-2015 12:15:00,101.593316
18-Dec-2015 12:30:00,100.814493
18-Dec-2015 12:45:00,100.035670
18-Dec-2015 13:00:00,92.259053
18-Dec-2015 13:15:00,93.599589
18-Dec-2015 13:30:00,60.714869
18-Dec-2015 13:45:00,60.262928
18-Dec-2015 14:00:00,55.036318
18-Dec-2015 14:15:00,73.113979
18-Dec-2015 14:30:00,91.191639
18-Dec-2015 14:45:00,126.668284
18-Dec-2015 15:00:00,133.004707
18-Dec-2015 15:15:00,120.863961
18-Dec-2015 15:30:00,149.563187
18-Dec-2015 15:45:00,136.845168
18-Dec-2015 16:00:00,134.359803
18-Dec-2015 16:15:00,132.348358
18-Dec-2015 16:30:00,108.466226
18-Dec-2015 16:45:00,136.365979
18-Dec-2015 17:00:00,104.309176
18-Dec-2015 17:15:00,116.371952
18-Dec-2015 17:30:00,91.678470
18-Dec-2015 17:45:00,107.480626
18-Dec-2015 18:00:00,72.837373
18-Dec-2015 18:15:00,105.851744
18-Dec-2015 18:30:00,115.920408
18-Dec-2015 18:45:00,146.280297
18-Dec-2015 19:00:00,114.642602
18-Dec-2015 19:15:00,114.504923
18-Dec-2015 19:30:00,103.164611
18-Dec-2015 19:45:00,68.973013
18-Dec-2015 20:00:00,65.882092
18-Dec-2015 20:15:00,68.368098
18-Dec-2015 20:30:00,19.621858
18-Dec-2015 20:45:00,26.012509
18-Dec-2015 21:00:00,18.464299
18-Dec-2015 21:15:00,35.983402
18-Dec-2015 21:30:00,53.502506
18-Dec-2015 21:45:00,71.021609
18-Dec-2015 22:00:00,88.540713
18-Dec-2015 22:15:00,65.698038
18-Dec-2015 22:30:00,68.355493
18-Dec-2015 22:45:00,97.316052
18-Dec-2015 23:00:00,113.025356
18-Dec-2015 23:15:00,102.802913
18-Dec-2015 23:30:00,84.781326
18-Dec-2015 23:45:00,87.175612
19-Dec-2015 00:00:00,63.834557
19-Dec-2015 00:15:00,82.389440
19-Dec-2015 00:30:00,55.022475
19-Dec-2015 00:45:00,72.680546
19-Dec-2015 01:00:00,71.943280
19-Dec-2015 01:15:00,77.573668
19-Dec-2015 01:30:00,66.268098
19-Dec-2015 01:45:00,58.757360
19-Dec-2015 02:00:00,90.944063
19-Dec-2015 02:15:00,63.800234
19-Dec-2015 02:30:00,85.176014
19-Dec-2015 02:45:00,82.650177
19-Dec-2015 03:00:00,51.026532
19-Dec-2015 03:15:00,78.195420
19-Dec-2015 03:30:00,58.840847
19-Dec-2015 03:45:00,66.329443
19-Dec-2015 04:00:00,44.591847
19-Dec-2015 04:15:00,84.424152
19-Dec-2015 04:30:00,51.436083
19-Dec-2015 04:45:00,88.450476
19-Dec-2015 05:00:00,73.721469
19-Dec-2015 05:15:00,83.927596
19-Dec-2015 05:30:00,60.826162
19-Dec-2015 05:45:00,74.815698
19-Dec-2015 06:00:00,74.209085
19-Dec-2015 06:15:00,61.207448
19-Dec-2015 06:30:00,46.365938
19-Dec-2015 06:45:00,34.752172
19-Dec-2015 07:00:00,54.465935
19-Dec-2015 07:15:00,71.868453
19-Dec-2015 07:30:00,44.013325
19-Dec-2015 07:45:00,77.908964
19-Dec-2015 08:00:00,62.036172
19-Dec-2015 08:15:00,60.946848
19-Dec-2015 08:30:00,56.911747
19-Dec-2015 08:45:00,71.211393
19-Dec-2015 09:00:00,64.070396
