Date Time,Active Power
3/29/2016 0:45,35.541714
3/29/2016 1:00,36.762524
3/29/2016 1:15,36.450338
3/29/2016 1:30,35.022989
3/29/2016 1:45,45.349835
3/29/2016 2:00,37.007132
3/29/2016 2:15,35.379566
3/29/2016 2:30,36.105865
3/29/2016 2:45,36.829207
3/29/2016 3:00,45.027001
3/29/2016 3:15,37.273221
3/29/2016 3:30,36.489747
3/29/2016 3:45,35.159021
3/29/2016 4:00,36.253424
3/29/2016 4:15,47.233209
3/29/2016 4:30,34.631787
3/29/2016 4:45,36.693348
3/29/2016 5:00,36.817378
3/29/2016 5:15,35.31692
3/29/2016 5:30,45.546698
3/29/2016 5:45,36.470699
3/29/2016 6:00,34.914795
3/29/2016 6:15,35.01191
3/29/2016 6:30,35.516147
3/29/2016 6:45,42.494987
3/29/2016 7:00,35.101293
3/29/2016 7:15,35.879104
3/29/2016 7:30,35.327888
3/29/2016 7:45,35.539076
3/29/2016 8:00,47.754501
3/29/2016 8:15,45.067863
3/29/2016 8:30,51.226728
3/29/2016 8:45,55.480572
3/29/2016 9:00,66.898449
3/29/2016 9:15,78.316325
3/29/2016 9:30,89.734202
3/29/2016 9:45,101.152078
3/29/2016 10:00,112.569955
3/29/2016 10:15,123.987832
3/29/2016 10:30,135.405708
3/29/2016 10:45,146.823585
3/29/2016 11:00,158.241461
3/29/2016 11:15,169.659338
3/29/2016 11:30,181.077214
3/29/2016 11:45,194.285971
3/29/2016 12:00,186.781467
3/29/2016 12:15,205.478325
3/29/2016 12:30,209.171248
3/29/2016 12:45,197.018033
3/29/2016 13:00,210.052637
3/29/2016 13:15,195.851247
3/29/2016 13:30,169.700784
3/29/2016 13:45,164.988196
3/29/2016 14:00,155.668293
3/29/2016 14:15,158.050412
3/29/2016 14:30,174.964978
3/29/2016 14:45,176.442064
3/29/2016 15:00,180.173614
3/29/2016 15:15,182.677351
3/29/2016 15:30,173.320059
3/29/2016 15:45,192.649032
3/29/2016 16:00,171.665642
3/29/2016 16:15,161.334109
3/29/2016 16:30,155.320605
3/29/2016 16:45,137.740187
3/29/2016 17:00,103.296264
3/29/2016 17:15,91.274016
3/29/2016 17:30,87.485291
3/29/2016 17:45,83.696565
3/29/2016 18:00,79.90784
3/29/2016 18:15,76.119115
3/29/2016 18:30,72.330389
3/29/2016 18:45,68.541664
3/29/2016 19:00,64.752939
3/29/2016 19:15,60.964214
3/29/2016 19:30,57.175488
3/29/2016 19:45,53.386763
3/29/2016 20:00,49.598038
3/29/2016 20:15,49.173153
3/29/2016 20:30,42.705498
3/29/2016 20:45,49.500828
3/29/2016 21:00,41.962922
3/29/2016 21:15,40.2515
3/29/2016 21:30,39.196187
3/29/2016 21:45,36.990582
3/29/2016 22:00,43.060318
3/29/2016 22:15,33.837478
3/29/2016 22:30,32.062141
3/29/2016 22:45,32.233008
3/29/2016 23:00,32.811235
3/29/2016 23:15,40.981742
3/29/2016 23:30,32.638998
3/29/2016 23:45,32.439443
04-02-2016 00:00,35.738453
04-02-2016 00:15,35.672003
04-02-2016 00:30,35.605552
04-02-2016 00:45,35.539102
04-02-2016 01:00,35.472651
04-02-2016 01:15,35.406201
04-02-2016 01:30,35.339751
04-02-2016 01:45,35.2733
04-02-2016 02:00,35.20685
04-02-2016 02:15,35.140399
04-02-2016 02:30,35.073949
04-02-2016 02:45,35.007498
04-02-2016 03:00,34.941048
04-02-2016 03:15,34.874598
04-02-2016 03:30,34.808147
04-02-2016 03:45,34.741697
04-02-2016 04:00,34.675246
04-02-2016 04:15,34.608796
04-02-2016 04:30,34.542346
04-02-2016 04:45,34.475895
04-02-2016 05:00,35.583288
04-02-2016 05:15,35.347526
04-02-2016 05:30,40.107718
04-02-2016 05:45,40.132068
04-02-2016 06:00,34.550767
04-02-2016 06:15,33.467986
04-02-2016 06:30,34.893193
04-02-2016 06:45,42.668746
04-02-2016 07:00,37.673776
04-02-2016 07:15,36.023388
